,acchr,dayofweek,size
0,0,1,24
1,0,2,21
2,0,3,11
3,0,4,18
4,0,5,16
5,0,6,19
6,0,7,35
7,1,1,30
8,1,2,16
9,1,3,11
10,1,4,10
11,1,5,14
12,1,6,16
13,1,7,26
14,2,1,24
15,2,2,12
16,2,3,11
17,2,4,9
18,2,5,10
19,2,6,18
20,2,7,25
21,3,1,17
22,3,2,7
23,3,3,8
24,3,4,8
25,3,5,9
26,3,6,26
27,3,7,24
28,4,1,17
29,4,2,14
30,4,3,17
31,4,4,11
32,4,5,16
33,4,6,22
34,4,7,19
35,5,1,13
36,5,2,34
37,5,3,26
38,5,4,33
39,5,5,33
40,5,6,29
41,5,7,20
42,6,1,15
43,6,2,51
44,6,3,41
45,6,4,46
46,6,5,44
47,6,6,40
48,6,7,20
49,7,1,23
50,7,2,41
51,7,3,42
52,7,4,43
53,7,5,42
54,7,6,42
55,7,7,33
56,8,1,19
57,8,2,39
58,8,3,31
59,8,4,33
60,8,5,36
61,8,6,39
62,8,7,29
63,9,1,28
64,9,2,38
65,9,3,36
66,9,4,32
67,9,5,32
68,9,6,41
69,9,7,41
70,10,1,32
71,10,2,28
72,10,3,32
73,10,4,27
74,10,5,37
75,10,6,41
76,10,7,42
77,11,1,28
78,11,2,57
79,11,3,44
80,11,4,63
81,11,5,42
82,11,6,40
83,11,7,42
84,12,1,64
85,12,2,52
86,12,3,38
87,12,4,38
88,12,5,50
89,12,6,37
90,12,7,67
91,13,1,62
92,13,2,34
93,13,3,41
94,13,4,45
95,13,5,46
96,13,6,46
97,13,7,57
98,14,1,38
99,14,2,62
100,14,3,67
101,14,4,45
102,14,5,50
103,14,6,56
104,14,7,63
105,15,1,46
106,15,2,48
107,15,3,48
108,15,4,51
109,15,5,46
110,15,6,54
111,15,7,50
112,16,1,42
113,16,2,47
114,16,3,51
115,16,4,70
116,16,5,51
117,16,6,42
118,16,7,52
119,17,1,47
120,17,2,57
121,17,3,53
122,17,4,60
123,17,5,51
124,17,6,54
125,17,7,54
126,18,1,49
127,18,2,51
128,18,3,55
129,18,4,59
130,18,5,56
131,18,6,56
132,18,7,61
133,19,1,42
134,19,2,54
135,19,3,35
136,19,4,25
137,19,5,35
138,19,6,41
139,19,7,48
140,20,1,36
141,20,2,45
142,20,3,43
143,20,4,39
144,20,5,33
145,20,6,43
146,20,7,40
147,21,1,36
148,21,2,44
149,21,3,26
150,21,4,29
151,21,5,42
152,21,6,48
153,21,7,41
154,22,1,28
155,22,2,21
156,22,3,24
157,22,4,26
158,22,5,29
159,22,6,45
160,22,7,43
161,23,1,17
162,23,2,25
163,23,3,28
164,23,4,21
165,23,5,17
166,23,6,28
167,23,7,32
168,99,1,1
169,99,2,3
170,99,3,5
171,99,4,5
172,99,5,1
173,99,6,5
174,99,7,2
